COUNTY,YEAR,TOTAL,WHITE,HISPANIC,ASIAN,PACIFIC_ISLANDER,BLACK,AMERICAN_INDIAN,MULTIRACE,WHITE_%,HISPANIC_%,ASIAN_%,PACIFIC_ISLANDER_%,BLACK_%,AMERICAN_INDIAN_%,MULTIRACE_%
Alameda,2038,1897973,402672,661659,587946,19683,151363,15623,59027,21.2158971702969%,34.8613494501766%,30.9775744965814%,1.03705374101739%,7.97498173050934%,0.82314131971319%,3.1100020917052%
Alameda,2039,1910776,396044,673151,595962,20009,150529,15859,59222,20.7268669901653%,35.2291948402115%,31.1895271868602%,1.04716617751113%,7.8778988222586%,0.82997693083857%,3.09936905215473%
Alameda,2040,1923505,389410,684656,603932,20337,149702,16094,59374,20.2448135045139%,35.5941887335879%,31.3974749220823%,1.05728864754706%,7.78277155505185%,0.83670175019041%,3.08676088702655%
Alameda,2041,1936110,382766,696172,611818,20666,148870,16327,59491,19.769847787574%,35.9572544948376%,31.6003739456952%,1.06739803007061%,7.68912923335968%,0.84328886271958%,3.07270764574327%
Alameda,2042,1948631,376131,707699,619635,20995,148039,16560,59572,19.3023204495874%,36.3177533355469%,31.7984780084069%,1.07742307291632%,7.59707712748078%,0.84982739164059%,3.0571206144211%
Alameda,2043,1961064,369514,719233,627377,21321,147204,16791,59624,18.8425263020483%,36.6756515850579%,31.9916637090885%,1.08721591952124%,7.50633329661857%,0.85621886894053%,3.04039031872494%
Alameda,2044,1973465,362933,730777,635065,21654,146370,17016,59650,18.3906479212958%,37.0301474817136%,32.1802008143038%,1.09725786877396%,7.41690377077881%,0.86223976609669%,3.02260237703734%
Alameda,2045,1985843,356410,742327,642695,21983,145540,17243,59645,17.9475416737376%,37.380951062093%,32.3638374232001%,1.10698579897807%,7.3288774590942%,0.86829623489873%,3.00351034799831%
Alameda,2046,1998195,349932,753891,650259,22312,144712,17469,59620,17.5124049454633%,37.7286000615556%,32.5423194432976%,1.11660773848398%,7.24213602776506%,0.87423900069813%,2.98369278273642%
Alameda,2047,2010522,343506,765461,657757,22638,143886,17695,59579,17.085413638846%,38.072749266111%,32.7157325311536%,1.12597623900659%,7.15664887029339%,0.88011969030928%,2.96335976428012%
Alameda,2048,2022849,337145,777040,665205,22965,143053,17919,59522,16.666839689962%,38.4131489794839%,32.8845603403912%,1.13527999371184%,7.07185756326844%,0.88582983702689%,2.94248359615572%
Alameda,2049,2035218,330867,788622,672620,23290,142228,18143,59448,16.2570790942297%,38.7487728587306%,33.0490394640771%,1.14434915571698%,6.98834228077778%,0.89145241443423%,2.92096473203362%
Alameda,2050,2047658,324681,800205,680019,23613,141409,18366,59365,15.8562123167052%,39.0790356592751%,33.2095984778708%,1.15317108618724%,6.90588955772888%,0.89692712357239%,2.8991657786603%
Alpine,2000,1261,901,101,4,1,7,205,42,71.451229183188%,8.00951625693894%,0.31720856463125%,0.079302141157811%,0.55511498810468%,16.2569389373513%,3.33068992862807%
Alpine,2001,1269,906,103,4,1,7,205,43,71.3947990543735%,8.11662726556344%,0.31520882584712%,0.078802206461781%,0.55161544523247%,16.1544523246651%,3.38849487785658%
Alpine,2002,1281,911,106,4,1,7,209,43,71.1163153786105%,8.27478532396565%,0.31225604996097%,0.078064012490242%,0.54644808743169%,16.3153786104606%,3.35675253708041%
Alpine,2003,1293,915,108,4,1,7,213,45,70.7656612529002%,8.35266821345708%,0.30935808197989%,0.077339520494973%,0.54137664346481%,16.4733178654292%,3.48027842227378%
Alpine,2004,1304,921,110,4,1,7,215,46,70.6288343558282%,8.43558282208589%,0.30674846625767%,0.076687116564417%,0.53680981595092%,16.4877300613497%,3.52760736196319%
Alpine,2005,1307,919,112,4,1,7,217,47,70.3136954858455%,8.56924254016832%,0.30604437643458%,0.076511094108646%,0.53557765876052%,16.6029074215761%,3.59602142310635%
Alpine,2006,1321,925,114,4,1,7,221,49,70.0227100681302%,8.62982588947767%,0.30280090840273%,0.075700227100681%,0.52990158970477%,16.7297501892506%,3.70931112793338%
